,Abs_Total,Car.truck.or van,Car.truck.or vanDrove alone,Car.truck.or vanCarpooled,Car.truck.or vanCarpooledIn 2-person carpool,Car.truck.or vanCarpooledIn 3-person carpool,Car.truck.or vanCarpooledIn 4-person carpool,Car.truck.or vanCarpooledIn 5- or 6-person carpool,Car.truck.or vanCarpooledIn 7-or-more-person carpool,Public transportation (excluding taxicab),Public transportation (excluding taxicab)Bus,Public transportation (excluding taxicab)Subway or elevated rail,Public transportation (excluding taxicab)Long-distance train or commuter rail,Public transportation (excluding taxicab)Light rail.streetcar or trolley (carro público in Puerto Rico),Public transportation (excluding taxicab)Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked from home,Geography,NAME,state,State
1795,1143,1059,958,101,69,32,0,0,0,0,0,0,0,0,0,0,0,0,49,3,32,1400000US17057953900,"Census Tract 9539,Fulton County",17|057|953900,Illinois
1796,1091,1074,1049,25,23,2,0,0,0,0,0,0,0,0,0,0,0,0,2,9,6,1400000US17059972700,"Census Tract 9727,Gallatin County",17|059|972700,Illinois
1797,953,906,765,141,111,28,2,0,0,0,0,0,0,0,0,0,0,0,0,14,33,1400000US17059972800,"Census Tract 9728,Gallatin County",17|059|972800,Illinois
1798,1436,1254,1099,155,113,2,24,16,0,2,2,0,0,0,0,0,0,0,7,15,158,1400000US17061973600,"Census Tract 9736,Greene County",17|061|973600,Illinois
1799,559,520,463,57,27,10,0,20,0,0,0,0,0,0,0,0,0,0,8,0,31,1400000US17061973700,"Census Tract 9737,Greene County",17|061|973700,Illinois
1800,980,896,759,137,131,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,79,1400000US17061973800,"Census Tract 9738,Greene County",17|061|973800,Illinois
1801,867,841,762,79,40,39,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,1400000US17061973900,"Census Tract 9739,Greene County",17|061|973900,Illinois
1802,1680,1523,1361,162,141,9,12,0,0,10,10,0,0,0,0,0,0,5,41,5,96,1400000US17061974000,"Census Tract 9740,Greene County",17|061|974000,Illinois
1803,4280,3784,3681,103,90,0,0,0,13,60,0,60,0,0,0,0,0,0,28,30,378,1400000US17063000102,"Census Tract 1,02,Grundy County",17|063|000102,Illinois
1804,3763,3328,3151,177,166,11,0,0,0,20,0,0,20,0,0,0,13,0,0,0,402,1400000US17063000103,"Census Tract 1,03,Grundy County",17|063|000103,Illinois
1805,3270,3069,2880,189,187,0,0,0,2,9,0,0,9,0,0,0,0,12,8,17,155,1400000US17063000200,"Census Tract 2,Grundy County",17|063|000200,Illinois
1806,1989,1510,1412,98,91,7,0,0,0,13,0,0,13,0,0,0,0,0,82,70,314,1400000US17063000300,"Census Tract 3,Grundy County",17|063|000300,Illinois
1807,2719,2617,2438,179,143,23,13,0,0,35,0,0,35,0,0,0,0,0,0,0,67,1400000US17063000400,"Census Tract 4,Grundy County",17|063|000400,Illinois
1808,1334,1244,1151,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,52,1400000US17063000500,"Census Tract 5,Grundy County",17|063|000500,Illinois
1809,1443,1328,1267,61,31,26,4,0,0,4,0,0,4,0,0,0,0,0,32,23,56,1400000US17063000600,"Census Tract 6,Grundy County",17|063|000600,Illinois
1810,2479,2269,2128,141,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,1400000US17063000700,"Census Tract 7,Grundy County",17|063|000700,Illinois
1811,2753,2432,2340,92,48,26,0,18,0,4,0,4,0,0,0,30,0,0,35,14,238,1400000US17063000800,"Census Tract 8,Grundy County",17|063|000800,Illinois
1812,1696,1630,1586,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,43,1400000US17063000900,"Census Tract 9,Grundy County",17|063|000900,Illinois
1813,1118,991,911,80,74,0,0,0,6,11,11,0,0,0,0,0,0,0,44,0,72,1400000US17065973100,"Census Tract 9731,Hamilton County",17|065|973100,Illinois
1814,945,919,788,131,113,18,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,1400000US17065973200,"Census Tract 9732,Hamilton County",17|065|973200,Illinois
1815,1180,1028,923,105,90,15,0,0,0,0,0,0,0,0,0,0,0,0,0,8,144,1400000US17065973300,"Census Tract 9733,Hamilton County",17|065|973300,Illinois
1816,1000,873,852,21,18,3,0,0,0,0,0,0,0,0,0,0,0,0,47,0,80,1400000US17067953700,"Census Tract 9537,Hancock County",17|067|953700,Illinois
1817,1400,1382,1359,23,23,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,15,1400000US17067953800,"Census Tract 9538,Hancock County",17|067|953800,Illinois
1818,733,637,621,16,7,9,0,0,0,23,23,0,0,0,0,0,0,0,12,0,61,1400000US17067953900,"Census Tract 9539,Hancock County",17|067|953900,Illinois
1819,801,675,622,53,24,29,0,0,0,0,0,0,0,0,0,0,0,0,54,7,65,1400000US17067954000,"Census Tract 9540,Hancock County",17|067|954000,Illinois
1820,1451,1296,1155,141,119,22,0,0,0,0,0,0,0,0,0,12,0,0,6,0,137,1400000US17067954100,"Census Tract 9541,Hancock County",17|067|954100,Illinois
1821,994,866,825,41,41,0,0,0,0,0,0,0,0,0,0,0,1,0,8,18,101,1400000US17067954200,"Census Tract 9542,Hancock County",17|067|954200,Illinois
1822,1674,1539,1399,140,100,18,0,6,16,0,0,0,0,0,0,0,0,0,38,15,82,1400000US17067954300,"Census Tract 9543,Hancock County",17|067|954300,Illinois
1823,630,567,507,60,60,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0,25,1400000US17069970900,"Census Tract 9709,Hardin County",17|069|970900,Illinois
1824,619,580,516,64,52,12,0,0,0,11,11,0,0,0,0,0,0,0,4,11,13,1400000US17069971000,"Census Tract 9710,Hardin County",17|069|971000,Illinois
1825,991,891,860,31,31,0,0,0,0,6,0,6,0,0,0,0,0,0,15,12,67,1400000US17071973300,"Census Tract 9733,Henderson County",17|071|973300,Illinois
1826,993,938,910,28,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,48,1400000US17071973400,"Census Tract 9734,Henderson County",17|071|973400,Illinois
1827,1027,949,882,67,59,5,0,3,0,8,0,0,8,0,0,0,0,0,17,0,53,1400000US17071973500,"Census Tract 9735,Henderson County",17|071|973500,Illinois
1828,3374,3199,3098,101,81,3,0,0,17,0,0,0,0,0,0,0,23,0,11,19,122,1400000US17073030100,"Census Tract 301,Henry County",17|073|030100,Illinois
